repo_id,user_id
20078281,634204
20078281,4605019
20078281,5107395
20078281,8748144
22042207,341184
22042509,79777
22042509,2609424
22042509,4683676
24944828,10186194
25080797,10826328
10798,422281
28032966,5358964
28032966,6785393
11578,427375
11578,7419551
20290778,197259
20290778,306917
20290778,494973
20290778,1487194
20290778,6540608
8140956,2819536
8149324,1041906
8149324,3151460
20450796,2895654
20450796,3981752
3516,66095
3516,225551
3633,215911
22045218,11251293
10192058,2607323
10192058,19257128
3644,70720
3644,122032
3644,185378
3644,8974034
3644,11991719
3656,89965
3656,9388610
3714,96554
3714,235708
3714,2768564
3714,6636208
3714,8622140
3894,117878
3912,81724
3912,1562154
3912,1842218
3912,1931015
3912,11034355
3912,11042177
3214347,1010869
4003655,9388610
4003838,2129003
17911207,2012883
17911207,2113816
17991525,42979
17991525,600868
17991525,775212
22087532,435893
22087532,6403926
22101095,1447505
22101095,2173978
22101095,2447962
10200435,215831
10200435,1826854
10200435,6264216
10200435,8568863
181526,1763017
181526,7114808
9362653,691395
9362653,2547916
224328,79264
224328,109798
224328,247696
224328,254924
224328,697391
224328,1243463
224328,1578815
224328,3136502
224328,3287830
224328,8619095
4095,377471
4095,1253782
4135,3639102
4234,157726
4234,269209
4516,430752
4516,1545364
4516,2720791
4516,3365595
4516,3700752
4516,4484678
4516,6199154
4516,7054807
4516,7929358
4516,12017138
4553,2796742
4610,81688
4610,214021
15783701,6876120
30568614,925570
536165,1453834
15889688,4562288
54491,1321480
25821930,3599317
10941284,9436
10941284,222227
10941284,8707910
20716503,3604787
20716503,8707534
20716503,12690036
20743170,2212573
10952404,220803
10952404,368692
10997213,1449374
10998645,361761
10998645,1332633
1528515,3950740
2366329,2250396
2366329,8581719
2366329,10638682
7149279,1240411
7149279,3458341
22132266,3701717
22132266,3875755
22132266,12093202
6,82217
29,298124
29,4087924
29,10959946
37,155999
37,182163
37,187993
37,231166
37,456101
37,929427
8196280,194425
8196280,2475231
8335469,1447505
225764,726261
225764,926279
225764,1365718
225764,2255057
225764,4290190
37,13648890
100,4257
100,9388511
147,2195993
11780,10189
11780,3668903
11780,9453907
11821,4713527
11879,68942
11879,91482
11879,170630
11989,1929894
12158,622646
12258,48580
12258,6597845
12258,10872334
28204,3051942
7216211,2014940
7216211,6793868
7216211,11508468
7240106,3607352
7240106,6115769
7240106,6478006
7240106,8956049
7299184,4284455
11734247,6462054
8478942,26189
31227,1939346
31227,7739248
31366,1354207
31366,4962473
31366,6447881
31366,7279550
31366,8781624
14279,808615
14279,1127282
14279,11958265
14328,217529
14328,4376489
14877,4087457
14877,10049586
12911997,4075829
13066443,2490934
13066443,3017133
334,273984
337,271730
340,887105
340,933739
340,1549325
390,73792
390,5686102
392,50506
392,884159
392,3027923
392,11926129
431,70786
431,155869
431,217965
431,255483
431,573371
431,4429462
431,8383410
